generator_type,     alfa,       307.619,,     65863.9,,     4027.92,     
BBS,     0.01,     213.586,   PASS,  65109.8,   PASS,  3736.23,   PASS,  
BBSBytes,     0.01,     244.053,   PASS,  65210.3,   PASS,  3973.29,   PASS,  
BM,     0.01,     234.883,   PASS,  65238.2,   PASS,  3999.29,   PASS,  
BMBytes,     0.01,     222.111,   PASS,  65442,   PASS,  3744.31,   PASS,  
Geffe,     0.01,     237.895,   PASS,  80100.3,   Fail,  3660.38,   PASS,  
L20,     0.01,     196.635,   PASS,  56460.6,   PASS,  3888.5,   PASS,  
L89,     0.01,     294.666,   PASS,  65195.4,   PASS,  3875.17,   PASS,  
LehmerHigh,     0.01,     243.531,   PASS,  64417.5,   PASS,  3707.16,   PASS,  
LehmerLow,     0.01,     135.447,   PASS,  53610.4,   PASS,  3057.58,   PASS,  
Librarian,     0.01,     4.32569e+06,   Fail,  213008,   Fail,  2948.68,   PASS,  
StandardLanguage,     0.01,     248.77,   PASS,  64851.2,   PASS,  3813.58,   PASS,  
Wolfram,     0.01,     263.021,   PASS,  65157.6,   PASS,  3703.36,   PASS,  


generator_type,     alfa,       292.149,,     65618.2,,     3951.82,     
BBS,     0.05,     250.332,   PASS,  65046,   PASS,  3830.42,   PASS,  
BBSBytes,     0.05,     275.338,   PASS,  64854.2,   PASS,  3943.43,   PASS,  
BM,     0.05,     300.203,   Fail,  64958.6,   PASS,  3938.79,   PASS,  
BMBytes,     0.05,     254.162,   PASS,  65729.1,   Fail,  3813.5,   PASS,  
Geffe,     0.05,     218.5,   PASS,  80318.8,   Fail,  3847.88,   PASS,  
L20,     0.05,     286.203,   PASS,  81736.5,   Fail,  3736.82,   PASS,  
L89,     0.05,     291.33,   PASS,  65061.1,   PASS,  3768.7,   PASS,  
LehmerHigh,     0.05,     264.76,   PASS,  63551.7,   PASS,  3704.92,   PASS,  
LehmerLow,     0.05,     139.051,   PASS,  53670.9,   PASS,  3094.72,   PASS,  
Librarian,     0.05,     4.32569e+06,   Fail,  213008,   Fail,  2948.68,   PASS,  
StandardLanguage,     0.05,     242.896,   PASS,  64279,   PASS,  3848.66,   PASS,  
Wolfram,     0.05,     265.916,   PASS,  63929.5,   PASS,  3681.87,   PASS,  


generator_type,     alfa,       281.648,,     65487.2,,     3928.21,     
BBS,     0.1,     216.879,   PASS,  65818.2,   Fail,  3822.96,   PASS,  
BBSBytes,     0.1,     251.408,   PASS,  64529.9,   PASS,  3815.83,   PASS,  
BM,     0.1,     227.465,   PASS,  64230.1,   PASS,  3879.46,   PASS,  
BMBytes,     0.1,     272.496,   PASS,  65904.9,   Fail,  3656.39,   PASS,  
Geffe,     0.1,     213.275,   PASS,  79928.2,   Fail,  3817.02,   PASS,  
L20,     0.1,     224.846,   PASS,  56936.7,   PASS,  3967.69,   Fail,  
L89,     0.1,     215.611,   PASS,  64185.6,   PASS,  4004.23,   Fail,  
LehmerHigh,     0.1,     252.65,   PASS,  63656.8,   PASS,  3682.06,   PASS,  
LehmerLow,     0.1,     139.857,   PASS,  53545.8,   PASS,  2905.62,   PASS,  
Librarian,     0.1,     4.32569e+06,   Fail,  213008,   Fail,  2948.68,   PASS,  
StandardLanguage,     0.1,     238.77,   PASS,  64255.6,   PASS,  3734.98,   PASS,  
Wolfram,     0.1,     262.744,   PASS,  64499.7,   PASS,  3915.22,   PASS,  


